StuecklistenpositionNr,Number (Int),LaufNr," ","
"
StuecklistenpositionNr,Number (Int),LaufNr," ","
",Artikel,Object<Artikel>,ArtikelNrLAG," ","
"
StuecklistenpositionNr,Number (Int),LaufNr," ","
",Artikel,Object<Artikel>,ArtikelNrLAG," ","
",Bemerkungen,String (∞),Bemerkung," ","
"
StuecklistenpositionNr,Number (Int),LaufNr," ","
",Artikel,Object<Artikel>,ArtikelNrLAG," ","
",Bemerkungen,String (∞),Bemerkung," ","
",BemerkungenRTF,String (∞),BemerkungRTF," ","
"
StuecklistenpositionNr,Number (Int),LaufNr," ","
",Artikel,Object<Artikel>,ArtikelNrLAG," ","
",Bemerkungen,String (∞),Bemerkung," ","
",BemerkungenRTF,String (∞),BemerkungRTF," ","
",Lagerabtrag,Boolean,Lagerabtrag," ","
"
StuecklistenpositionNr,Number (Int),LaufNr," ","
",Artikel,Object<Artikel>,ArtikelNrLAG," ","
",Bemerkungen,String (∞),Bemerkung," ","
",BemerkungenRTF,String (∞),BemerkungRTF," ","
",Lagerabtrag,Boolean,Lagerabtrag," ","
",NichtAnzeigen,Boolean,NichtAnzeigen," ","
"
StuecklistenpositionNr,Number (Int),LaufNr," ","
",Artikel,Object<Artikel>,ArtikelNrLAG," ","
",Bemerkungen,String (∞),Bemerkung," ","
",BemerkungenRTF,String (∞),BemerkungRTF," ","
",Lagerabtrag,Boolean,Lagerabtrag," ","
",NichtAnzeigen,Boolean,NichtAnzeigen," ","
",NichtBestellen,Boolean,NichtBestellen," ","
"
StuecklistenpositionNr,Number (Int),LaufNr," ","
",Artikel,Object<Artikel>,ArtikelNrLAG," ","
",Bemerkungen,String (∞),Bemerkung," ","
",BemerkungenRTF,String (∞),BemerkungRTF," ","
",Lagerabtrag,Boolean,Lagerabtrag," ","
",NichtAnzeigen,Boolean,NichtAnzeigen," ","
",NichtBestellen,Boolean,NichtBestellen," ","
",PositionNr,Number (Int),PositionNr," ","
"
StuecklistenpositionNr,Number (Int),LaufNr," ","
",Artikel,Object<Artikel>,ArtikelNrLAG," ","
",Bemerkungen,String (∞),Bemerkung," ","
",BemerkungenRTF,String (∞),BemerkungRTF," ","
",Lagerabtrag,Boolean,Lagerabtrag," ","
",NichtAnzeigen,Boolean,NichtAnzeigen," ","
",NichtBestellen,Boolean,NichtBestellen," ","
",PositionNr,Number (Int),PositionNr," ","
",PreisUebernehmen,Boolean,Preis," ","
"
StuecklistenpositionNr,Number (Int),LaufNr," ","
",Artikel,Object<Artikel>,ArtikelNrLAG," ","
",Bemerkungen,String (∞),Bemerkung," ","
",BemerkungenRTF,String (∞),BemerkungRTF," ","
",Lagerabtrag,Boolean,Lagerabtrag," ","
",NichtAnzeigen,Boolean,NichtAnzeigen," ","
",NichtBestellen,Boolean,NichtBestellen," ","
",PositionNr,Number (Int),PositionNr," ","
",PreisUebernehmen,Boolean,Preis," ","
",PreisSW,"Number (8,4)",PreisSW," ","
"
StuecklistenpositionNr,Number (Int),LaufNr," ","
",Artikel,Object<Artikel>,ArtikelNrLAG," ","
",Bemerkungen,String (∞),Bemerkung," ","
",BemerkungenRTF,String (∞),BemerkungRTF," ","
",Lagerabtrag,Boolean,Lagerabtrag," ","
",NichtAnzeigen,Boolean,NichtAnzeigen," ","
",NichtBestellen,Boolean,NichtBestellen," ","
",PositionNr,Number (Int),PositionNr," ","
",PreisUebernehmen,Boolean,Preis," ","
",PreisSW,"Number (8,4)",PreisSW," ","
",Sprache,Object<Sprache>,SprachePRO," ","
"
StuecklistenpositionNr,Number (Int),LaufNr," ","
",Artikel,Object<Artikel>,ArtikelNrLAG," ","
",Bemerkungen,String (∞),Bemerkung," ","
",BemerkungenRTF,String (∞),BemerkungRTF," ","
",Lagerabtrag,Boolean,Lagerabtrag," ","
",NichtAnzeigen,Boolean,NichtAnzeigen," ","
",NichtBestellen,Boolean,NichtBestellen," ","
",PositionNr,Number (Int),PositionNr," ","
",PreisUebernehmen,Boolean,Preis," ","
",PreisSW,"Number (8,4)",PreisSW," ","
",Sprache,Object<Sprache>,SprachePRO," ","
",StuecklisteArtikel,Object<Artikel>,StlNrLAG," ","
"
StuecklistenpositionNr,Number (Int),LaufNr," ","
",Artikel,Object<Artikel>,ArtikelNrLAG," ","
",Bemerkungen,String (∞),Bemerkung," ","
",BemerkungenRTF,String (∞),BemerkungRTF," ","
",Lagerabtrag,Boolean,Lagerabtrag," ","
",NichtAnzeigen,Boolean,NichtAnzeigen," ","
",NichtBestellen,Boolean,NichtBestellen," ","
",PositionNr,Number (Int),PositionNr," ","
",PreisUebernehmen,Boolean,Preis," ","
",PreisSW,"Number (8,4)",PreisSW," ","
",Sprache,Object<Sprache>,SprachePRO," ","
",StuecklisteArtikel,Object<Artikel>,StlNrLAG," ","
",Anzahl,"Number (8,4)",Anzahl," ","
"
